transaction_id,timestamp,source_entity,target_entity,initiator_id,approver_id,amount,currency,category,approval_status,fx_flag,risk_score
e5c371a1-f27e-49c3-8e4a-6bcec737a0af,2026-02-26 21:04:26.415719,12,25,4793,3074,44210.36,USD,Tax Settlement,Pending,False,0
4ee663cc-12b4-4c3c-92a1-46eb03ce584e,2026-05-06 06:58:28.415839,37,12,3781,4053,17345.46,GBP,Payroll,Approved,True,0
27be35ac-d327-445f-a0af-5028482708c8,2025-09-04 01:15:50.415883,43,6,1485,3995,12159.98,EUR,Vendor Payment,Approved,True,0
0b501123-0034-4e52-98e6-3ba3e2c19e93,2026-03-04 16:33:21.415914,45,9,2995,2900,2935.26,GBP,Vendor Payment,Pending,True,0
764525d8-2f6f-4a6e-b9f9-84ebfe847cc6,2025-09-25 22:58:00.415940,24,15,3783,2400,8984.33,INR,Investment,Approved,True,0
8a58b037-ae9d-487d-84df-c4340d398c9b,2025-12-27 20:21:25.415966,2,30,4910,3627,38012.85,EUR,Tax Settlement,Pending,True,0
dea1f82c-6556-49c4-99db-5c44350de1b9,2025-08-16 03:45:04.415989,3,46,4496,2070,6974.3,EUR,Procurement,Rejected,True,0
c4a147b8-0b31-412e-af10-901a2ff4e326,2026-05-01 12:30:45.416013,13,30,3132,4621,5063.26,GBP,Investment,Rejected,True,0
99b008fd-26cb-4acd-a1cb-bf1d5c4b571d,2025-06-08 14:08:20.416034,50,24,3860,1176,26549.27,INR,Intercompany Transfer,Approved,True,0
29eedf72-6237-46ad-88a8-5d5792a2a2c7,2026-04-25 19:54:35.416056,12,44,4848,4248,8814302.78,INR,Tax Settlement,Approved,True,0
6ef53680-d9b7-463e-932c-3a3bc338852b,2025-10-23 05:14:00.416081,6,47,1064,2013,117671.47,GBP,Payroll,Approved,True,0
659b1e01-825e-4942-a5d8-81483a4ce8f5,2026-01-03 00:35:01.416103,14,26,1539,1718,1713.68,INR,Payroll,Rejected,True,0
ce461f77-d37b-448f-a797-858826d4608f,2026-04-05 15:53:17.416156,19,25,3779,2153,176411.54,USD,Investment,Rejected,False,0
88a7c89b-1435-4fd2-9a2d-288f197acb55,2025-10-13 13:53:07.416176,29,48,4741,2881,40517.85,JPY,Tax Settlement,Rejected,True,0
0ee4ba32-f200-4df0-b08a-17b2ace7dd97,2026-05-02 06:40:22.416196,38,28,1763,2114,1006601.54,USD,Vendor Payment,Approved,False,0
4e985fb2-e8f4-4b4c-a964-caa0ee2fbdc9,2025-05-27 02:39:23.416222,38,20,2397,3284,20167.78,JPY,Payroll,Approved,True,0
7b2a7d9e-b992-4a95-933a-e951a7514d16,2026-01-27 05:55:22.416254,31,34,4107,3149,3327775.94,INR,Intercompany Transfer,Rejected,True,0
db6990b5-8352-4ef7-9884-d4a6d59dcf33,2026-02-28 08:29:32.416276,44,11,2539,1787,77088.47,JPY,Payroll,Pending,True,0
df10ca8e-6c7b-40f4-8d9b-9cad0edbc783,2025-10-04 11:54:01.416298,7,25,4681,1257,12794.07,EUR,Tax Settlement,Rejected,True,0
0719f762-6d60-4c31-a1fa-07494d46c48c,2025-07-22 11:00:04.416319,23,35,4952,1988,16643.29,GBP,Payroll,Rejected,True,0
0612cf93-ebb0-417a-a5d8-579a1c9145be,2025-10-19 08:20:59.416338,39,35,1043,1458,14011.63,GBP,Investment,Pending,True,0
bae8a512-a61c-4e03-b2ea-99fcd1eb5bb4,2026-03-08 18:19:30.416357,47,35,3447,1653,45334.58,GBP,Procurement,Rejected,True,0
3ec55db4-03d7-4cf3-a197-f050a4190072,2025-06-01 01:47:44.416380,29,18,1330,4572,20178.28,JPY,Payroll,Approved,True,0
785895b0-5f21-4dd8-995d-3e3fcecba547,2026-03-06 09:48:46.416401,23,37,4089,4367,11926.33,INR,Intercompany Transfer,Pending,True,0
2ebfd6c6-bea1-436e-aaf5-c6fad0446a44,2025-12-13 19:05:46.416421,18,7,4762,3475,7790426.28,USD,Procurement,Pending,False,0
6c21f982-1e09-4140-97ba-f838368b39a1,2026-01-27 22:16:56.416447,13,5,2617,1054,17454.11,GBP,Investment,Rejected,True,0
8281369d-078b-4511-82b9-9eaaa6db49db,2025-08-18 22:44:12.416468,33,3,3632,2282,2741.83,GBP,Payroll,Pending,True,0
35df8a39-0448-4072-bbc8-b55e678d1c91,2026-05-08 18:21:52.416489,46,40,2278,1175,7420.11,JPY,Vendor Payment,Rejected,True,0
c76e5cbf-95cf-4d18-b166-1d0918ccb5dc,2025-11-13 00:07:10.416521,48,19,2421,4588,154654.28,GBP,Tax Settlement,Rejected,True,0
c4a6c199-4e33-4de1-b908-7434685b1bdd,2025-12-16 19:03:34.416543,42,24,4225,4357,7027.6,GBP,Intercompany Transfer,Rejected,True,0
8043e5d3-735e-48fe-92cf-936817abb6fd,2025-12-10 02:30:54.416563,11,37,3012,2226,29643.89,JPY,Tax Settlement,Rejected,True,0
56795a38-4451-40d3-b180-5d5e944a2973,2025-09-16 08:38:50.416583,46,41,4500,2254,21088.84,INR,Investment,Pending,True,0
9941e13b-bc98-473b-844c-18ea041616b9,2025-07-09 17:51:08.416605,6,44,3185,3844,4427.56,INR,Tax Settlement,Approved,True,0
98af7b58-e2ec-4379-8331-b557ba3ef54a,2026-01-10 04:13:52.416625,18,17,4433,3771,5521.75,JPY,Payroll,Rejected,True,0
fb9e38c0-2427-4a22-bdf1-c18344f6f0cb,2026-01-31 08:09:54.416645,25,49,1632,3482,1470021.27,INR,Intercompany Transfer,Approved,True,0
a4de4aa8-49cc-45ea-8d89-3a1472d0fcaf,2026-01-23 17:54:44.416671,12,16,4512,4458,123203.16,INR,Payroll,Rejected,True,0
b670bd11-911f-43a6-9bc2-bc2ee20bff99,2025-12-16 04:02:31.416692,36,14,4070,3920,7390.56,INR,Investment,Rejected,True,0
c67f8d67-f3fd-4c65-8c70-7c13617320f0,2026-03-21 08:53:50.416712,35,43,2251,3278,128104.69,EUR,Vendor Payment,Pending,True,0
3fdfb51e-3fc4-4f55-a0ae-e74a1596f435,2026-04-30 11:28:23.416731,11,18,4012,4110,11054.22,EUR,Intercompany Transfer,Rejected,True,0
ca97b90b-6005-4bf5-b912-cd27a4f1fad1,2026-01-02 01:10:36.416750,26,23,2717,1460,26700.35,EUR,Intercompany Transfer,Pending,True,0
5a5ee847-1f04-4312-a33a-d48fa6cb46be,2026-05-13 19:36:59.416768,20,11,3154,4657,88460.0,GBP,Investment,Approved,True,0
9971cd2d-4f4a-4665-9782-2463e42c6aab,2026-01-04 16:12:41.416787,17,21,3580,2290,164474.33,GBP,Procurement,Rejected,True,0
738a86e1-ed39-42fd-b250-6f504903f816,2026-01-21 21:11:39.416809,45,28,4182,3022,16327.3,GBP,Payroll,Approved,True,0
919d9cdb-6e6c-47ae-b58b-6d818d635fad,2025-12-16 18:00:32.416829,9,45,2967,4579,5459.78,GBP,Tax Settlement,Rejected,True,0
493921c8-e8c4-4ed7-a968-0d35b09fc6c3,2025-09-10 02:01:36.416847,41,30,3953,2087,39407.96,GBP,Payroll,Pending,True,0
d70745ba-65da-4cd7-be08-12fd752a621b,2025-07-04 11:38:08.416866,48,8,4838,3249,79385.97,INR,Procurement,Approved,True,0
a5035ba4-03a6-4a71-9994-19ad7a0d3d7c,2026-01-11 13:53:54.416884,31,20,1512,1398,54441.34,EUR,Payroll,Rejected,True,0
a6cf5400-b5a7-45c4-bf14-bfc8c25842e8,2025-12-04 03:07:27.416903,45,23,4947,1291,12046.22,JPY,Vendor Payment,Approved,True,0
71a792fe-1f19-4ea4-9f83-a0366de0f12e,2026-03-21 13:45:16.416921,49,17,2861,4960,8902.51,INR,Intercompany Transfer,Rejected,True,0
19362e4e-011d-44c4-8348-5cb520f77b32,2026-02-18 18:45:18.416940,50,38,4856,4811,10666.49,GBP,Payroll,Rejected,True,0
d4a92326-6a11-40a8-a918-93fa035e2cfb,2025-07-05 11:03:30.416959,46,1,1627,2715,10317.3,INR,Intercompany Transfer,Rejected,True,0
1b93fa96-0b94-4928-aa2d-e62975088ca8,2025-12-31 09:39:19.416978,41,45,1302,4342,15829.7,INR,Investment,Approved,True,0
